調教師CD,調教師名,全出走数,全勝率,全複勝率,穴馬出走数(7人気↓),穴馬勝率,穴馬連対率,穴馬複勝率,穴馬期待複勝率,穴馬複勝超過率,穴馬人気以上率,穴馬単勝回収率,大穴出走数(10人気↓),大穴複勝率,戦略スコア
01139,飯田祐史,1319,0.053828658074298714,0.18574677786201668,832,0.010817307692307692,0.051682692307692304,0.08533653846153846,0.07968609907868639,1.0709087211970625,0.6887019230769231,0.2530048076923077,509,0.0412573673870334,1.4443735927826573
01092,松永幹夫,1863,0.10305958132045089,0.2952227589908749,783,0.02681992337164751,0.06768837803320563,0.1123882503192848,0.09400924419709435,1.1955021155542755,0.6219667943805874,0.9065134099616858,388,0.07474226804123711,1.443047142215482
01155,渡辺薫彦,1585,0.06435331230283911,0.2246056782334385,869,0.011507479861910242,0.04948216340621404,0.08515535097813579,0.08181426336091763,1.0408374711201542,0.7031070195627158,0.289873417721519,506,0.045454545454545456,1.4424397360190064
00429,佐々木晶,1337,0.09947643979057591,0.2715033657442034,637,0.02040816326530612,0.05180533751962323,0.09262166405023547,0.0847646992313603,1.092691472866907,0.6985871271585558,0.7706436420722135,372,0.051075268817204304,1.4356224771079653
01211,宮地貴稔,221,0.08144796380090498,0.26244343891402716,127,0.023622047244094488,0.047244094488188976,0.10236220472440945,0.07422578134096669,1.379065371561319,0.7322834645669292,1.1385826771653544,88,0.045454545454545456,1.4268847930465614
01033,木原一良,1203,0.05403158769742311,0.17622610141313383,810,0.01728395061728395,0.03827160493827161,0.07654320987654321,0.07721516652701929,0.9912976079609833,0.737037037037037,0.6674074074074074,501,0.043912175648702596,1.4251389874244507
01185,小林真也,1022,0.0812133072407045,0.2309197651663405,587,0.020442930153321975,0.044293015332197615,0.0817717206132879,0.07736283114208026,1.0569897637679588,0.7257240204429302,1.0260647359454855,371,0.04851752021563342,1.4244310357844294
01023,伊藤圭三,1887,0.08744038155802862,0.26444091149973503,850,0.015294117647058824,0.04352941176470588,0.0988235294117647,0.08877887423747755,1.1131424030836252,0.6494117647058824,0.4525882352941176,466,0.06866952789699571,1.4201855000061396
01024,萱野浩二,1415,0.0431095406360424,0.15265017667844524,1010,0.01782178217821782,0.0297029702970297,0.061386138613861385,0.06871651128847128,0.8933244348823668,0.7861386138613862,0.9005940594059406,704,0.03835227272727273,1.4149264622567566
01042,安達昭夫,1206,0.05306799336650083,0.15754560530679934,843,0.009489916963226572,0.03202846975088968,0.066429418742586,0.07198728050001894,0.922793836371809,0.7805456702253856,0.3943060498220641,579,0.03626943005181347,1.4133351723459142
01079,古賀慎明,1295,0.06254826254826255,0.22393822393822393,721,0.019417475728155338,0.049930651872399444,0.09153952843273232,0.0820236774471802,1.116013464425317,0.6574202496532594,0.6743411927877947,444,0.04954954954954955,1.4062851000634546
01093,松永康利,1271,0.025963808025177025,0.12667191188040913,987,0.004052684903748734,0.029381965552178316,0.06382978723404255,0.06764584094983352,0.9435877555484753,0.7416413373860182,0.4734549138804458,704,0.036931818181818184,1.4052539729728084
