banusicode,banusiname,N,wins,place_2nd3rd,drops,promo_risk_count,win_rate,rate_2nd3rd,drop_rate,p_value_win,p_bh_win,p_value_2nd3rd,p_bh_2nd3rd
102800,ターフ・スポート,156,34,48,74,146,0.21794871794871795,0.3076923076923077,0.47435897435897434,0.606416236181369,0.9998664685304478,0.4081570709660599,0.9972659797981572
124008,山本　英俊,92,18,21,53,67,0.1956521739130435,0.22826086956521738,0.5760869565217391,0.40007556628422053,0.9998664685304478,0.9419310578922063,0.9972659797981572
132030,澤田　昭紀,60,9,16,35,56,0.15,0.26666666666666666,0.5833333333333334,0.1501894333391623,0.9177326475544092,0.7369032239480509,0.9972659797981572
138007,吉田　和美,523,134,127,262,489,0.25621414913957935,0.24282982791587,0.5009560229445507,0.9923967072440879,0.9998664685304478,0.9972659797981572,0.9972659797981572
148800,グリーンファーム,334,58,103,173,250,0.17365269461077845,0.3083832335329341,0.5179640718562875,0.043582509966844124,0.8577737532063398,0.3350186512438893,0.9972659797981572
149002,井山　登,50,11,17,22,49,0.22,0.34,0.44,0.6276707770904825,0.9998664685304478,0.2963201996449451,0.9972659797981572
151006,吉田　和子,87,19,20,48,86,0.21839080459770116,0.22988505747126436,0.5517241379310345,0.6102086833415086,0.9998664685304478,0.9330039572119354,0.9972659797981572
163002,北所　直人,162,36,38,88,149,0.2222222222222222,0.2345679012345679,0.5432098765432098,0.6561707114807821,0.9998664685304478,0.9671447269358432,0.9972659797981572
165033,河合　純二,121,21,46,54,117,0.17355371900826447,0.38016528925619836,0.4462809917355372,0.17264277528251262,0.9177326475544092,0.02954524695542458,0.6407542300021789
168006,増田　雄一,106,19,26,61,99,0.1792452830188679,0.24528301886792453,0.5754716981132075,0.23693121897525551,0.9998664685304478,0.8977352096236776,0.9972659797981572
170800,ロードホースクラブ,488,113,125,250,442,0.23155737704918034,0.25614754098360654,0.5122950819672131,0.8559574636743286,0.9998664685304478,0.978255264531993,0.9972659797981572
172002,池谷　誠一,95,17,29,49,71,0.17894736842105263,0.30526315789473685,0.5157894736842106,0.25166101918215766,0.9998664685304478,0.46338718793396183,0.9972659797981572
180800,東京ホースレーシング,793,190,241,362,712,0.23959646910466584,0.30390920554854983,0.45649432534678436,0.9686941615932244,0.9998664685304478,0.3342522915806911,0.9972659797981572
184033,山本　能成,102,14,38,50,79,0.13725490196078433,0.37254901960784315,0.49019607843137253,0.03567598859560339,0.8238619930045296,0.059728635513799234,0.796902167102681
