banusicode,banusiname,N,mean_residual,std_residual,mean_implied,actual_win_rate,promo_risk_count,t_stat,p_value,p_bh
486800,キャロットファーム,1955,-0.05648247771079017,0.40949017382837505,0.2989377206775421,0.24245524296675192,1713,-6.098789383607791,6.423998840086541e-10,2.9793454893436105e-08
491030,藤田　在子,63,-0.031131959322626458,0.39085256024323417,0.2374811656718328,0.20634920634920634,44,-0.6322135038024811,0.26478597394516035,0.33852384010710374
494800,ウイン,366,-0.009499155126435324,0.41045139873479697,0.24447183272206374,0.23497267759562843,314,-0.4427553143670457,0.3291024995909035,0.38426997062059254
500007,沼川　一彦,73,0.024114652943367478,0.45324859167430487,0.27725521007033116,0.3013698630136986,63,0.45457545561049895,0.6746088646903439,0.6952601564665789
506800,シルクレーシング,1687,-0.0631567095241522,0.4055884690133277,0.30144953702859795,0.23829282750444578,1534,-6.395749374124549,1.0318981850587381e-10,6.948114446062171e-09
514008,窪田　康志,185,-0.05941453349092905,0.3997523232725444,0.28103615511255065,0.22162162162162163,143,-2.0215642987424993,0.022335057145914935,0.06180385675992899
515800,タマモ,183,-0.016256053475384162,0.4157499298548668,0.25122873107101257,0.23497267759562843,167,-0.5289425194227271,0.2987449088469434,0.36573619143686403
523005,松本　好雄,904,-0.038784616337174796,0.3970042103207994,0.25006780217788277,0.21128318584070796,798,-2.9373020092008097,0.0016974766192548586,0.009524729919152262
524030,鈴木　邦英,55,-0.06110557565260384,0.3915621229777678,0.26110557565260384,0.2,53,-1.1573414564760656,0.12611332780415777,0.19902259544093648
534006,寺田　千代乃,128,-0.04973520124715855,0.411580015765551,0.2762977012471585,0.2265625,120,-1.3671450203967648,0.08699740781469718,0.15690603909436457
535031,近藤　旬子,133,-0.07161107763118105,0.38208671255855997,0.26709979943569234,0.19548872180451127,128,-2.161444531067934,0.016232605625355317,0.0504459436357196
536800,大樹ファーム,120,-0.13766794488646641,0.3211809830404272,0.27100127821979975,0.13333333333333333,114,-4.695411175711143,3.593714074401614e-06,8.065891589212511e-05
538009,山岡　良一,63,-0.06337443102137036,0.3805229885853024,0.23797760562454495,0.1746031746031746,55,-1.3219147514803211,0.095526616281403,0.16492629477643939
539002,廣崎　利洋,59,-0.017618053455913312,0.41158481320787094,0.23795703650676076,0.22033898305084745,47,-0.32879453285430993,0.3717476244490302,0.41487856430223263
542800,ライオンレースホース,311,-0.04806398869958292,0.4029412903194014,0.25063633596646395,0.20257234726688103,286,-2.186755601793926,0.014751369532708948,0.04822803884461215
546800,サラブレッドクラブ・ラフィアン,608,-0.06627182584000617,0.37237783627846405,0.24554814162947983,0.17927631578947367,544,-4.388305977533624,6.735888537206353e-06,0.00011338745704297361
547800,ヒダカ・ブリーダーズ・ユニオン,308,-0.004211305634387585,0.40962327217279426,0.2477177991408811,0.2435064935064935,245,-0.1804294798494078,0.4284672287929266,0.4653246248181246
553800,広尾レース,159,-0.08903423153014288,0.3615632646703256,0.2588455522848599,0.16981132075471697,136,-3.1050691589054633,0.0011275883659693903,0.0066858252058597245
587008,大城　敬三,108,-0.06984167149359977,0.38020372547350567,0.2642861159380442,0.19444444444444445,74,-1.9090184878403473,0.029469287330167463,0.07349130914436823
619800,ダノックス,554,-0.06874516399783025,0.41071834174326005,0.29437693295089884,0.22563176895306858,491,-3.9396073300537036,4.6031033180374945e-05,0.0005469569824962199
628007,中西　忍,55,-0.07735371752017321,0.4518869410384402,0.29553553570199137,0.21818181818181817,52,-1.2695001132939001,0.10485337826536938,0.17650318674670512
629007,西川　光一,71,-0.01652808655357956,0.36892298329648743,0.25596470627188944,0.23943661971830985,62,-0.37749920463090253,0.3534724094847811,0.4033978910504281
629800,ミルファーム,168,-0.09335519121756242,0.33296711488395897,0.21835519121756244,0.125,160,-3.634057299275063,0.00018554351037681154,0.0017847518617198064
646030,中辻　明,83,-0.020884953982464143,0.4175118232210916,0.2738970021752352,0.25301204819277107,82,-0.45572598302196443,0.32489579733210394,0.3837950354449415
672033,加藤　和夫,51,0.08480666988933652,0.47097168456235416,0.2681345065812517,0.35294117647058826,47,1.2859388008443489,0.8978060360881895,0.9022727327851457
674004,森中　蕃,114,-0.04646716150166417,0.37254581723748526,0.23067768781745362,0.18421052631578946,107,-1.3317382629121743,0.09281313162109721,0.16162286713328997
675030,林　正道,309,-0.051476118462789114,0.4268893671130468,0.2812495812459606,0.2297734627831715,285,-2.119677030876815,0.017416448511797238,0.05265219759273166
677009,西森　鶴,54,0.051057159195785615,0.44023184762237283,0.30079469265606623,0.35185185185185186,46,0.8522599290885711,0.801047642903262,0.8172304235679744
679800,湘南,72,-0.11793723327210454,0.3390342930613198,0.25682612216099343,0.1388888888888889,72,-2.9517091022766238,0.002140072993658291,0.01054377426143841
686006,平井　裕,153,-0.0543271075494385,0.41104690360647533,0.2700133820592424,0.21568627450980393,138,-1.6348236719117106,0.05207766552957716,0.11010949271574716
695004,内村　正則,91,-0.037931987301805664,0.3774661697748787,0.22474517411499248,0.18681318681318682,82,-0.9586239131422795,0.170158214345295,0.2403633517325146
708800,金子真人ホールディングス,789,-0.05173944277704042,0.42573049222897236,0.30142258599630534,0.24968314321926488,712,-3.41370109813835,0.00033680268856259787,0.0028047730377376906
712800,オースミ,92,-0.05467250036730773,0.388305668477221,0.2503246742803512,0.1956521739130435,77,-1.3504829931950475,0.09010504001765232,0.16083397423281215
716800,ビッグレッドファーム,311,-0.025287045354121445,0.392345120470018,0.23107482670460378,0.2057877813504823,277,-1.1366062145428026,0.128290393411232,0.19934353437745278
727008,谷掛　龍夫,119,-0.11588397696732029,0.3593471354500882,0.27554784251353875,0.15966386554621848,115,-3.517893476045693,0.00030926824245674416,0.002716181955489666
731006,福井　明,52,-0.017306921872401855,0.4368241449598538,0.28653769110317107,0.2692307692307692,47,-0.2857030452706733,0.38813139941745,0.428429194985382
748009,森　保彦,52,-0.12203649325833556,0.3256543362326973,0.2566518778737202,0.1346153846153846,52,-2.702306003420354,0.0046640176076027245,0.019227174627260212
